county_name,state_name,seasonality_type,seasonal_housing_display,seasonal_employment_display,composite_score_display,total_popE
Grand County,Colorado,Vacation Destination,57.9,40.9,100,15629
Summit County,Colorado,Vacation Destination,56.6,43.5,100,31042
Valley County,Idaho,Vacation Destination,67.2,38.8,99,11476
Vilas County,Wisconsin,Vacation Destination,51.3,39.2,97.6,22813
Kane County,Utah,Vacation Destination,45.2,44.6,96.8,7635
Worcester County,Maryland,Vacation Destination,55.4,35.4,96.2,52322
Garfield County,Utah,Vacation Destination,40.1,46.9,93.4,5061
Forest County,Pennsylvania,Vacation Destination,71.4,31.6,93,7121
Sawyer County,Wisconsin,Vacation Destination,45.8,34.7,92.8,17813
Roscommon County,Michigan,Vacation Destination,48,32.7,92.6,23458
Cape May County,New Jersey,Vacation Destination,50.7,30.7,92.3,95488
Pocahontas County,West Virginia,Vacation Destination,45.6,37.8,92.2,8006
Alger County,Michigan,Vacation Destination,42.8,36.1,91.9,8911
Montmorency County,Michigan,Vacation Destination,47.9,31.7,91.7,9164
Madison County,Montana,Vacation Destination,37.1,46.4,91.4,8499
Oscoda County,Michigan,Vacation Destination,54.1,33.8,90,8206
Burnett County,Wisconsin,Vacation Destination,51.4,28,90,16356
Avery County,North Carolina,Vacation Destination,43,33.6,90,17747
Tillamook County,Oregon,Vacation Destination,35.5,38.2,88.9,27129
Dukes County,Massachusetts,Vacation Destination,58.4,26.3,88.6,20277
Eagle County,Colorado,Vacation Destination,32.7,41.2,88.5,55693
Florence County,Wisconsin,Vacation Destination,49.7,26.2,88.3,4542
Alcona County,Michigan,Vacation Destination,48.2,27.1,88.1,10138
Adams County,Idaho,Vacation Destination,31.5,43.4,87.7,4321
Bear Lake County,Idaho,Vacation Destination,35.1,36.2,86.9,6327
Dare County,North Carolina,Vacation Destination,31.7,38.7,86.7,36718
Kalkaska County,Michigan,Vacation Destination,35.2,35.7,86.6,17813
Door County,Wisconsin,Vacation Destination,36.6,34.4,86.4,29713
Presque Isle County,Michigan,Vacation Destination,33.9,36.4,86.3,12976
Iron County,Michigan,Vacation Destination,35.1,35.4,86.3,11580
Copper River Census Area,Alaska,Vacation Destination,46.6,26.2,86.3,2635
Piscataquis County,Maine,Vacation Destination,44.2,28.1,86.2,16760
Archuleta County,Colorado,Resort Economy,28.6,40.6,85.7,13267
Huerfano County,Colorado,Vacation Destination,31.7,37.4,85.6,6787
Essex County,Vermont,Vacation Destination,36.7,33.3,85.6,5972
Watauga County,North Carolina,Resort Economy,28.2,39.9,85.4,54077
Carroll County,New Hampshire,Vacation Destination,41.3,30.9,85.2,49961
Schoolcraft County,Michigan,Vacation Destination,32.1,36.3,84.9,8004
Custer County,Idaho,Resort Economy,27.3,48.6,84.8,4273
Granite County,Montana,Vacation Destination,41.9,54.1,84,3333
Summit County,Utah,Vacation Destination,39.2,29.4,84,42156
Forest County,Wisconsin,Vacation Destination,51.9,36.6,83.9,9184
Harlan County,Nebraska,Resort Economy,27.9,38.3,83.9,3216
Stone County,Missouri,Vacation Destination,32.2,36.4,83.6,31018
Gunnison County,Colorado,Vacation Destination,30.5,42.2,83.2,16851
Routt County,Colorado,Resort Economy,28.4,36.7,82.9,24899
Keith County,Nebraska,Resort Economy,24.1,46.8,82.7,8312
Nantucket County,Massachusetts,Vacation Destination,63.3,19.2,82.6,13795
Carteret County,North Carolina,Vacation Destination,33.8,31.9,82.5,67944
San Juan County,Washington,Vacation Destination,34.5,31.1,82.3,17631
