state_name,n_counties,avg_seasonal_housing,avg_seasonal_employment,avg_composite_score,n_vacation_counties,n_resort_counties,pct_seasonal_counties
Hawaii,4,8.37785851784606,36.2472582661535,68.77333772086551,0,0,100
New Hampshire,10,16.699416141110135,26.83962083255194,63.37848562542727,1,4,100
Maine,16,20.490314690575975,28.307658250858015,62.70563307525795,4,7,93.75
Montana,42,10.391113983352268,38.19539517172583,61.405289183547886,2,6,97.61904761904762
Utah,27,12.364188917935534,32.651807871005985,60.76893119368078,3,4,81.48148148148148
Michigan,82,19.19710736131353,29.21049927329173,59.68947425691519,25,14,80.48780487804879
Florida,67,9.938619851900171,31.101420156629754,58.97939420432455,1,12,82.08955223880598
Delaware,3,9.163906493828295,26.64460673835592,58.63897134278582,0,1,100
Idaho,42,11.069216021209106,33.95587268632139,58.32088621115407,6,3,85.71428571428571
Oregon,36,7.103770295487235,33.58050729819913,57.57448119845721,1,3,88.88888888888889
Washington,39,8.061744623718665,30.796714403770608,57.2833246133016,2,5,87.17948717948718
Massachusetts,14,13.439114851912692,23.74878253156376,56.9753172538254,3,0,78.57142857142857
Colorado,56,10.918767591177641,33.71250274465775,56.834230769708704,7,9,76.78571428571429
California,56,8.072469185125119,31.415500810679653,56.03337170223475,4,3,89.28571428571429
Nevada,14,4.185954769477268,37.33078798958395,55.64406727395458,0,0,78.57142857142857
North Carolina,99,7.385630097239623,27.916107630808796,54.80886369780617,4,12,71.71717171717171
Wisconsin,72,14.48280030874495,27.75452273974918,54.71560792376461,14,9,73.61111111111111
Vermont,14,19.57376124606449,29.27573297864284,53.87842324782701,3,5,71.42857142857143
Wyoming,22,6.6683135518537435,36.54096542922872,53.8773573809007,0,2,81.81818181818183
Pennsylvania,67,9.080437539460698,26.30723003741471,53.67221472521057,6,5,73.13432835820896
Maryland,24,5.791719613894972,25.0070838242016,53.422859021279564,1,1,75
Alaska,23,16.222933012685505,26.565933124863868,53.027011415357734,3,7,69.56521739130434
Puerto Rico,75,5.574702465504575,30.513683201370394,52.83429962625242,1,4,65.33333333333333
Arizona,15,12.013682053232351,33.15641168662985,52.8229201470516,0,4,66.66666666666666
Nebraska,79,4.814874111866468,33.672936410463365,52.44158660727889,0,5,68.35443037974683
Louisiana,63,4.685300593714807,30.240802094037765,52.20465878438194,0,3,66.66666666666666
Virginia,126,4.1668653487367004,25.831872820021246,50.769556890801596,0,4,67.46031746031747
Texas,223,6.185304527698638,32.838703177962564,50.74160733450737,2,16,72.19730941704036
South Carolina,44,4.735673206282169,26.866712753369985,50.3746539837046,0,4,79.54545454545455
New Jersey,21,4.420586332509851,23.488765016800045,49.83352371000001,1,0,71.42857142857143
West Virginia,53,7.786100636971807,29.789439326234646,49.56528159951594,2,3,52.83018867924528
New York,62,9.789296798364271,26.09276356514698,49.08093001425215,4,8,56.451612903225815
South Dakota,60,5.68660691051044,36.46567216313118,48.90699310547298,0,3,85
Connecticut,8,2.794692271849035,24.1376830644081,48.849761331001176,0,0,62.5
Alabama,66,5.0105572051752265,26.286677679385246,48.611027369055826,0,1,56.060606060606055
New Mexico,28,9.146142336371316,33.00112511955449,48.55178746177526,2,3,64.28571428571429
North Dakota,45,7.441716247474072,37.361796975757606,48.07635656426211,0,5,75.55555555555556
Missouri,115,5.869567880848431,28.949189210801926,48.01503024002902,4,5,49.56521739130435
Rhode Island,5,6.169381161255356,24.862459746124678,47.95595275395259,0,1,60
Tennessee,95,4.187363035556359,26.167404688631777,47.832628394478206,0,3,53.68421052631579
Minnesota,87,9.446204626150555,28.33024373083545,47.27792489904468,5,13,52.87356321839081
Arkansas,75,6.942135013063188,28.577901787287434,46.534040718948724,1,8,49.333333333333336
Georgia,150,4.1584835338988215,26.6809116664889,46.440259550579206,1,6,52
Indiana,91,2.8201441444916266,24.876400366728376,45.92314130031231,0,4,58.24175824175825
Mississippi,82,3.753787271150157,27.056100734981616,45.77778041727654,0,0,52.4390243902439
Kansas,97,3.2744327789651417,31.56988637587772,45.55205679728869,0,0,53.608247422680414
Kentucky,119,3.2773964481192777,26.6642581142399,45.2071974367869,0,4,45.378151260504204
Iowa,99,2.6202995305017054,28.701481408474205,44.83432933220461,1,2,45.45454545454545
Illinois,102,2.9141049204042933,27.822793917364937,44.2993579480481,0,4,42.15686274509804
Ohio,88,2.3333301114200213,25.340290192824956,43.943436581537064,1,0,46.590909090909086
Oklahoma,76,3.561885894583219,33.46281339870053,43.73194484469307,0,3,55.26315789473685
District of Columbia,1,0.9337624090198835,22.207517775609546,36.406135511053456,0,0,0
