GEOID,NAME,total_speakers,shannon_entropy,english_share,spanish_share,asian_share,foreign_share,median_income,total_population,immigrant_share,state,log_median_income,log_total_population,entropy_quartile,high_diversity
01001,"Autauga County, Alabama",52404,0.222800507001519,0.9621784596595679,0.019559575604915655,0.010170979314556142,0.03782154034043206,57982,55639,0.023418824924962705,NA,10.967887896534048,10.926639673194344,2,FALSE
01003,"Baldwin County, Alabama",206329,0.2658330690628878,0.9500700337810003,0.03189081515443781,0.004594603763891649,0.0499299662189997,61756,218289,0.03421610800360989,NA,11.030946415761818,12.293575151896025,3,TRUE
01005,"Barbour County, Alabama",23694,0.3217401688155361,0.9283784924453448,0.056512197180720855,0.004853549421794547,0.07162150755465524,34990,25026,0.025533445216974347,NA,10.462817585361734,10.127670563425001,3,TRUE
01007,"Bibb County, Alabama",21121,0.12095949574153667,0.9764689171914208,0.020264192036361914,0,0.023531082808579185,51721,22374,0.015821936175918476,NA,10.853619167579001,10.015654849406875,1,FALSE
01009,"Blount County, Alabama",54250,0.29988844193314257,0.9215483870967742,0.07386175115207373,6.63594470046083e-4,0.07845161290322578,48922,57755,0.043528698813955505,NA,10.797982472039825,10.963965204722781,3,TRUE
01011,"Bullock County, Alabama",9579,0.287572758074135,0.9258795281344608,0.06900511535650904,0,0.07412047186553916,33866,10173,0.015039811265113535,NA,10.430166840225287,9.227492430793749,3,TRUE
01013,"Butler County, Alabama",18565,0.12078726112671388,0.9820630218152437,0.005709668731483975,0.005278750336654996,0.017936978184756258,44850,19726,0.01865558146608537,NA,10.711078867486941,9.88969284151394,1,FALSE
01015,"Calhoun County, Alabama",107662,0.2069492942032102,0.9616020508628857,0.027493451728557893,0.005703033568018427,0.03839794913711425,50128,114324,0.024885413386515516,NA,10.822335013191973,11.64679180149478,2,FALSE
01017,"Chambers County, Alabama",31443,0.1653342842105189,0.9721718665521738,0.013230289730623668,0.008427948987055942,0.027828133447826198,43875,33427,0.018577796392138093,NA,10.689099960768168,10.41711923563258,1,FALSE
01019,"Cherokee County, Alabama",24907,0.15053868270205428,0.9726582888344643,0.021560203958726463,0.002047617135744971,0.027341711165535743,42509,26035,0.019320145957365087,NA,10.65747109719941,10.167197065597,1,FALSE
01021,"Chilton County, Alabama",41400,0.31511752940533294,0.9212077294685991,0.07067632850241545,0.0038647342995169085,0.07879227053140092,52141,44147,0.04394409586155345,NA,10.861706866436679,10.695280253553513,3,TRUE
01023,"Choctaw County, Alabama",12084,0.15224229102795,0.9735187024164184,0.011171797418073486,0,0.026481297583581642,36634,12755,0.008859270874166993,NA,10.508732049920162,9.453678630575912,1,FALSE
01025,"Clarke County, Alabama",22516,0.04158844283488573,0.9946260437022562,0.002620358855924676,0.0023982945461005507,0.005373956297743843,37345,23866,0.0031006452694209334,NA,10.527954312791167,10.0802101309296,1,FALSE
01027,"Clay County, Alabama",12563,0.11143689734934181,0.9768367428162064,0.022924460717981373,0,0.02316325718379364,42678,13285,0.013850207000376364,NA,10.66143884396157,9.494390858193913,1,FALSE
01029,"Cleburne County, Alabama",14064,0.1178979155734335,0.9773890784982935,0.019766780432309443,0,0.022610921501706516,46320,14952,0.014446227929373997,NA,10.743329112246878,9.612600349135398,1,FALSE
01031,"Coffee County, Alabama",49013,0.3360129017412396,0.9314059535225349,0.04519209189398731,0.01336380144043417,0.06859404647746514,56799,52238,0.03568283624947356,NA,10.947273998920458,10.863565478378225,3,TRUE
01033,"Colbert County, Alabama",51868,0.14409465964599014,0.9760160407187476,0.01523097092619727,0.003393228965836354,0.02398395928125241,47962,54957,0.015594009862255946,NA,10.778164309689819,10.91430634025357,1,FALSE
01035,"Conecuh County, Alabama",11765,0.034713048224173745,0.9953251168720783,0.0011049723756906078,0.0021249468763280916,0.004674883127921747,35444,12219,0.010393649234798265,NA,10.475709265167193,9.410747396316522,1,FALSE
01037,"Coosa County, Alabama",10232,0.07951663603107827,0.9871970289288506,0.007623143080531665,0,0.01280297107114936,43571,10696,0.005329094988780853,NA,10.682147070420287,9.27762511878178,1,FALSE
01039,"Covington County, Alabama",34957,0.11393280214788329,0.9814629401836542,0.01221500700861058,0.004176559773435936,0.01853705981634579,42566,37096,0.007547983610092733,NA,10.658811091522749,10.521264426071296,1,FALSE
01041,"Crenshaw County, Alabama",13090,0.16788589705942797,0.9723453017570665,0.01038961038961039,0.013750954927425514,0.02765469824293354,42611,13826,0.016924634746130478,NA,10.659867714887898,9.53430615650521,1,FALSE
01043,"Cullman County, Alabama",78182,0.18296258499301254,0.9628175283313295,0.03228364585198639,0.0019058095213732062,0.0371824716686705,48388,83345,0.025340452336672866,NA,10.78700712807974,11.330743898377188,2,FALSE
