state_name,n_counties,avg_stability,median_stability
New Hampshire,10,-0.3433479553802547,-0.3962812400839854
Pennsylvania,66,-0.3174717853675395,-0.3537583770502809
Ohio,88,-0.30318811333982726,-0.3461922224500831
Iowa,97,-0.28426131943517524,-0.3305545996964823
New York,61,-0.27752404993877305,-0.3132735071638994
Wisconsin,70,-0.26328775145307337,-0.29969673597854785
Vermont,14,-0.26277714954212184,-0.29338524802671107
Illinois,97,-0.2540610185461433,-0.33956171962972426
Wyoming,21,-0.2460918638049787,-0.16806584600971755
Maine,16,-0.24306595948247853,-0.22798299173837633
